delay	count
0	0
1	0
2	0
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	14
22	128
23	89
24	40
25	18
26	13
27	13
28	15
29	42
30	41
31	42
32	23
33	15
34	15
35	19
36	18
37	8
38	13
39	8
40	11
41	7
42	19
43	13
44	23
45	25
46	20
47	40
48	28
49	17
50	16
51	18
52	8
53	11
54	23
55	17
56	18
57	16
58	14
59	6
60	10
61	11
62	11
63	18
64	14
65	8
66	3
67	6
68	0
69	2
70	4
71	5
72	0
73	3
74	0
75	0
76	0
77	0
78	0
79	2
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1
Notes:
Notes
