delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	2
22	2
23	0
24	5
25	0
26	5
27	0
28	1
29	1
30	9
31	8
32	7
33	10
34	8
35	11
36	17
37	9
38	6
39	32
40	27
41	28
42	24
43	32
44	35
45	42
46	116
47	74
48	21
49	26
50	23
51	28
52	25
53	31
54	18
55	10
56	7
57	9
58	10
59	4
60	6
61	5
62	5
63	2
64	1
65	1
66	0
67	2
68	0
69	5
70	2
71	3
72	4
73	4
74	1
75	5
76	6
77	5
78	4
79	11
80	12
81	9
82	8
83	10
84	15
85	15
86	13
87	19
88	10
89	15
90	9
91	10
92	15
93	14
94	5
95	5
96	8
97	7
98	5
99	23
