delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	3
22	86
23	135
24	61
25	27
26	23
27	23
28	15
29	10
30	21
31	35
32	36
33	20
34	16
35	21
36	13
37	13
38	11
39	10
40	15
41	5
42	12
43	7
44	23
45	20
46	23
47	33
48	37
49	29
50	17
51	14
52	14
53	15
54	9
55	4
56	18
57	20
58	19
59	9
60	8
61	11
62	13
63	15
64	11
65	8
66	8
67	1
68	5
69	4
70	0
71	3
72	4
73	0
74	1
75	2
76	1
77	1
78	1
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	2
Notes:
Notes
