delay	count
0	0
1	0
2	0
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	0
22	0
23	2
24	3
25	2
26	5
27	5
28	6
29	5
30	3
31	14
32	4
33	2
34	10
35	9
36	9
37	16
38	11
39	26
40	30
41	29
42	39
43	32
44	44
45	48
46	105
47	60
48	34
49	22
50	27
51	21
52	21
53	29
54	27
55	13
56	14
57	3
58	8
59	3
60	5
61	4
62	4
63	3
64	3
65	1
66	2
67	2
68	1
69	2
70	3
71	2
72	4
73	0
74	1
75	6
76	7
77	8
78	9
79	7
80	9
81	7
82	9
83	8
84	11
85	9
86	15
87	9
88	6
89	12
90	10
91	11
92	24
93	17
94	6
95	4
96	5
97	4
98	4
99	26
