delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	12
11	22
12	5
13	1
14	1
15	4
16	2
17	0
18	1
19	1
20	1
21	2
22	1
23	0
24	0
25	3
26	5
27	5
28	3
29	3
30	2
31	5
32	8
33	6
34	9
35	14
36	18
37	14
38	29
39	27
40	16
41	23
42	41
43	43
44	46
45	59
46	123
47	92
48	49
49	25
50	21
51	20
52	16
53	8
54	17
55	12
56	13
57	13
58	6
59	7
60	3
61	4
62	3
63	0
64	1
65	1
66	2
67	4
68	1
69	3
70	0
71	6
72	2
73	5
74	2
75	5
76	5
77	5
78	2
79	5
80	3
81	6
82	4
83	0
84	3
85	7
86	3
87	9
88	5
89	4
90	4
91	4
92	4
93	3
94	6
95	2
96	3
97	5
98	2
99	32
