delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	2
11	15
12	6
13	4
14	2
15	1
16	1
17	0
18	0
19	1
20	2
21	4
22	3
23	2
24	2
25	1
26	2
27	2
28	1
29	5
30	3
31	11
32	7
33	9
34	10
35	18
36	15
37	22
38	21
39	28
40	28
41	34
42	33
43	40
44	37
45	42
46	133
47	101
48	43
49	27
50	31
51	30
52	15
53	12
54	19
55	9
56	13
57	15
58	10
59	5
60	1
61	1
62	1
63	2
64	0
65	1
66	4
67	4
68	3
69	4
70	0
71	0
72	4
73	3
74	2
75	3
76	6
77	2
78	3
79	2
80	1
81	1
82	2
83	2
84	5
85	6
86	3
87	5
88	4
89	5
90	2
91	3
92	3
93	3
94	1
95	6
96	3
97	5
98	6
99	33
