0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	2
25	1
26	2
27	2
28	3
29	2
30	3
31	1
32	8
33	8
34	7
35	12
36	13
37	22
38	14
39	22
40	21
41	48
42	43
43	27
44	46
45	49
46	87
47	63
48	32
49	39
50	24
51	27
52	17
53	18
54	12
55	8
56	12
57	4
58	4
59	2
60	2
61	1
62	2
63	1
64	2
65	2
66	3
67	1
68	3
69	4
70	3
71	6
72	4
73	5
74	5
75	9
76	2
77	1
78	6
79	11
80	5
81	10
82	8
83	11
84	9
85	21
86	16
87	17
88	14
89	14
90	12
91	20
92	13
93	17
94	10
95	10
96	8
97	4
98	5
99	19
