delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	8
11	11
12	13
13	7
14	6
15	2
16	0
17	1
18	1
19	0
20	0
21	2
22	1
23	1
24	1
25	2
26	2
27	3
28	5
29	5
30	6
31	11
32	8
33	12
34	7
35	15
36	18
37	12
38	13
39	23
40	21
41	25
42	42
43	40
44	55
45	49
46	150
47	81
48	25
49	24
50	29
51	26
52	16
53	13
54	10
55	17
56	13
57	13
58	8
59	3
60	3
61	4
62	2
63	2
64	1
65	0
66	1
67	1
68	1
69	3
70	4
71	4
72	3
73	3
74	0
75	4
76	7
77	3
78	4
79	3
80	4
81	4
82	6
83	4
84	4
85	3
86	4
87	3
88	6
89	5
90	5
91	3
92	3
93	1
94	5
95	3
96	4
97	2
98	8
99	36
