delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	43
22	133
23	73
24	42
25	22
26	23
27	22
28	19
29	19
30	48
31	30
32	18
33	22
34	19
35	13
36	9
37	13
38	5
39	8
40	9
41	10
42	11
43	17
44	26
45	19
46	23
47	35
48	26
49	24
50	18
51	13
52	11
53	14
54	12
55	19
56	19
57	23
58	17
59	9
60	6
61	9
62	12
63	9
64	4
65	11
66	9
67	9
68	2
69	2
70	1
71	0
72	2
73	2
74	2
75	1
76	2
77	0
78	0
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	1
98	0
99	1
Notes:
Notes
