delay	count
0	0
1	0
2	0
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	7
11	22
12	3
13	1
14	2
15	3
16	2
17	0
18	1
19	2
20	0
21	3
22	3
23	0
24	2
25	3
26	3
27	2
28	6
29	1
30	2
31	8
32	8
33	3
34	10
35	9
36	26
37	19
38	24
39	25
40	20
41	30
42	40
43	37
44	53
45	45
46	147
47	88
48	41
49	34
50	27
51	23
52	16
53	9
54	16
55	8
56	14
57	9
58	9
59	7
60	1
61	2
62	0
63	1
64	2
65	3
66	0
67	2
68	1
69	1
70	1
71	3
72	5
73	3
74	1
75	3
76	6
77	3
78	2
79	2
80	1
81	6
82	3
83	5
84	6
85	3
86	4
87	6
88	2
89	1
90	3
91	0
92	2
93	4
94	1
95	2
96	6
97	1
98	5
99	46
